name	calories	protein	fiber
100%_Bran	70	4	10
100%_Natural_Bran	120	3	2
All-Bran	70	4	9
All-Bran_with_Extra_Fiber	50	4	14
Almond_Delight	110	2	1
Apple_Cinnamon_Cheerios	110	2	2
Apple_Jacks	110	2	1
Basic_4	130	3	2
Bran_Chex	90	2	4
Bran_Flakes	90	3	5
Cap'n'Crunch	120	1	0
Cheerios	110	6	2
Cinnamon_Toast_Crunch	120	1	0
Clusters	110	3	2
Cocoa_Puffs	110	1	0
Corn_Chex	110	2	0
Corn_Flakes	100	2	1
Corn_Pops	110	1	1
Count_Chocula	110	1	0
Cracklin'_Oat_Bran	110	3	4
Crispix	110	2	1
Crispy_Wheat_&_Raisins	100	2	2
Double_Chex	100	2	1
Froot_Loops	110	2	1
Frosted_Flakes	110	1	1
Frosted_Mini-Wheats	100	3	3
Fruit_&_Fibre_Dates;_Walnuts;_and_Oats	120	3	5
Fruitful_Bran	120	3	5
Fruity_Pebbles	110	1	0
Golden_Crisp	100	2	0
Golden_Grahams	110	1	0
Grape_Nuts_Flakes	100	3	3
Grape-Nuts	110	3	3
Great_Grains_Pecan	120	3	3
Honey_Graham_Ohs	120	1	1
Honey_Nut_Cheerios	110	3	2
Honey-comb	110	1	0
Just_Right_Crunchy__Nuggets	110	2	1
Just_Right_Fruit_&_Nut	140	3	2
Kix	110	2	0
Life	100	4	2
Lucky_Charms	110	2	0
Muesli_Raisins;_Dates;_&_Almonds	150	4	3
Muesli_Raisins;_Peaches;_&_Pecans	150	4	3
Mueslix_Crispy_Blend	160	3	3
Multi-Grain_Cheerios	100	2	2
Nut&Honey_Crunch	120	2	0
Nutri-Grain_Almond-Raisin	140	3	3
Nutri-grain_Wheat	90	3	3
Oatmeal_Raisin_Crisp	130	3	2
Post_Nat._Raisin_Bran	120	3	6
Product_19	100	3	1
Puffed_Rice	50	1	0
Puffed_Wheat	50	2	1
Quaker_Oat_Squares	100	4	2
Raisin_Bran	120	3	5
Raisin_Nut_Bran	100	3	3
Raisin_Squares	90	2	2
Rice_Chex	110	1	0
Rice_Krispies	110	2	0
Shredded_Wheat	80	2	3
Shredded_Wheat_'n'Bran	90	3	4
Shredded_Wheat_spoon_size	90	3	3
Smacks	110	2	1
Special_K	110	6	1
Strawberry_Fruit_Wheats	90	2	3
Total_Corn_Flakes	110	2	0
Total_Raisin_Bran	140	3	4
Total_Whole_Grain	100	3	3
Triples	110	2	0
Trix	110	1	0
Wheat_Chex	100	3	3
Wheaties	100	3	3
Wheaties_Honey_Gold	110	2	1
